Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
PerspectiveShadowEffectName,,影（立体投影）,Shadow (Perspective),阴影（立体投影）,陰影（立體投影）,그림자 (입체 투영),Sombra (Perspectiva),ظل (منظوري),Bayangan (Perspektif)
TagPerspectiveShadow,,影（立体投影）,shadow (perspective),阴影（立体投影）,陰影（立體投影）,그림자 (입체 투영),sombra (perspectiva),ظل (منظوري),bayangan (perspektif)
TagPerspective,,透視投影,perspective,透视,透視,투시,perspectiva,منظور,perspektif
TagShadow3D,,3D影,3d shadow,3d阴影,3D陰影,3D 그림자,sombra 3d,ظل ثلاثي الأبعاد,bayangan 3d
TagCastShadow,,落ち影,cast shadow,投射阴影,投射陰影,투영 그림자,sombra proyectada,ظل مُسقط,bayangan jatuh
TagShadow,,影,shadow,阴影,陰影,그림자,sombra,ظل,bayangan
PerspectiveShadowGroupLight,,光源,Light Source,光源,光源,광원,Fuente de luz,مصدر الضوء,Sumber Cahaya
PerspectiveShadowGroupAppearance,,影の見え方,Shadow Appearance,阴影外观,陰影外觀,그림자 외관,Apariencia de sombra,مظهر الظل,Tampilan Bayangan
PerspectiveShadowLightXName,,光源X,Light X,光源X,光源X,광원 X,Luz X,ضوء X,Cahaya X
PerspectiveShadowLightXDesc,,光源の水平位置 (px),Horizontal position of the light source (px),光源的水平位置 (px),光源的水平位置 (px),광원의 수평 위치 (px),Posición horizontal de la fuente de luz (px),الموضع الأفقي للمصدر الضوئي (px),Posisi horizontal sumber cahaya (px)
PerspectiveShadowLightYName,,光源Y,Light Y,光源Y,光源Y,광원 Y,Luz Y,ضوء Y,Cahaya Y
PerspectiveShadowLightYDesc,,光源の垂直位置 (px),Vertical position of the light source (px),光源的垂直位置 (px),光源的垂直位置 (px),광원의 수직 위치 (px),Posición vertical de la fuente de luz (px),الموضع الرأسي للمصدر الضوئي (px),Posisi vertikal sumber cahaya (px)
PerspectiveShadowLightHeightName,,光源の高さ,Light Height,光源高度,光源高度,광원 높이,Altura de luz,ارتفاع الضوء,Tinggi Cahaya
PerspectiveShadowLightHeightDesc,,光源の仮想的な高さ。小さいほど影が長く伸びます。,Virtual height of the light. Smaller values produce longer shadows.,光源的虚拟高度。值越小阴影越长。,光源的虛擬高度。值越小陰影越長。,광원의 가상 높이. 값이 작을수록 그림자가 길어집니다.,Altura virtual de la luz. Valores menores producen sombras más largas.,الارتفاع الافتراضي للضوء. القيم الأصغر تنتج ظلالًا أطول.,Tinggi virtual cahaya. Nilai lebih kecil menghasilkan bayangan lebih panjang.
PerspectiveShadowGroundYName,,接地線Y,Ground Y,接地线Y,接地線Y,접지선 Y,Suelo Y,خط الأرضية Y,Tanah Y
PerspectiveShadowGroundYDesc,,影が落ちる地面の位置。素材下端を基準としたオフセット (px)。,Offset from the bottom edge of the source to the ground plane (px).,相对于素材下端的地面位置偏移 (px)。,相對於素材下端的地面位置偏移 (px)。,소재 하단을 기준으로 한 지면 위치 오프셋 (px).,Desplazamiento desde el borde inferior del objeto hasta el plano del suelo (px).,إزاحة الأرضية من الحافة السفلية للعنصر (px).,Offset dari tepi bawah sumber ke bidang tanah (px).
PerspectiveShadowOpacityName,,不透明度,Opacity,不透明度,不透明度,불투명도,Opacidad,العتامة,Opasitas
PerspectiveShadowOpacityDesc,,影全体の不透明度。,Overall opacity of the shadow.,阴影整体的不透明度。,陰影整體的不透明度。,그림자 전체의 불투명도.,Opacidad general de la sombra.,العتامة الكلية للظل.,Opasitas keseluruhan bayangan.
PerspectiveShadowFalloffName,,距離減衰,Distance Falloff,距离衰减,距離衰減,거리 감쇠,Atenuación por distancia,تخفيف بالمسافة,Peluruhan Jarak
PerspectiveShadowFalloffDesc,,影の先端に向かって薄くなる強さ。,How much the shadow fades toward its far end.,阴影朝向远端逐渐变淡的强度。,陰影朝向遠端逐漸變淡的強度。,그림자가 끝쪽으로 향할수록 흐려지는 강도.,Cuánto se desvanece la sombra hacia su extremo lejano.,مقدار تلاشي الظل نحو نهايته البعيدة.,Seberapa banyak bayangan memudar ke ujung jauhnya.
PerspectiveShadowBlurName,,ぼかし半径,Blur Radius,模糊半径,模糊半徑,블러 반경,Radio de desenfoque,نصف قطر التمويه,Radius Blur
PerspectiveShadowBlurDesc,,影のソフトエッジ半径 (px)。,Soft-edge radius of the shadow (px).,阴影柔和边缘的半径 (px)。,陰影柔和邊緣的半徑 (px)。,그림자의 부드러운 가장자리 반경 (px).,Radio del borde suave de la sombra (px).,نصف قطر الحافة الناعمة للظل (px).,Radius tepi lembut bayangan (px).
PerspectiveShadowSpreadName,,拡散,Spread,扩散,擴散,확산,Dispersión,انتشار,Penyebaran
PerspectiveShadowSpreadDesc,,距離が大きいほど影のエッジが拡散する強さ。,How strongly the shadow edge spreads with increasing distance.,距离越远阴影边缘扩散的强度。,距離越遠陰影邊緣擴散的強度。,거리가 멀어질수록 그림자 가장자리가 확산되는 강도.,Cuánto se dispersa el borde de la sombra a medida que aumenta la distancia.,مدى انتشار حافة الظل مع زيادة المسافة.,Seberapa kuat tepi bayangan menyebar seiring jarak.
PerspectiveShadowAlphaThresholdName,,シルエットしきい値,Silhouette Threshold,轮廓阈值,輪廓閾值,실루엣 임계값,Umbral de silueta,عتبة الظل الخارجي,Ambang Siluet
PerspectiveShadowAlphaThresholdDesc,,シルエットとして扱う不透明度のしきい値。,Opacity threshold used to determine the subject's silhouette.,作为轮廓处理的不透明度阈值。,作為輪廓處理的不透明度閾值。,실루엣으로 취급할 불투명도 임계값.,Umbral de opacidad para determinar la silueta del sujeto.,عتبة العتامة المستخدمة لتحديد الظل الخارجي للهدف.,Ambang opasitas untuk menentukan siluet subjek.
PerspectiveShadowShadowColorName,,影の色,Shadow Color,阴影颜色,陰影顏色,그림자 색상,Color de sombra,لون الظل,Warna Bayangan
PerspectiveShadowShadowColorDesc,,影の色。,Color of the shadow.,阴影的颜色。,陰影的顏色。,그림자의 색상.,Color de la sombra.,لون الظل.,Warna bayangan.
PerspectiveShadowGroupWall,,壁,Wall,墙壁,牆壁,벽,Pared,جدار,Dinding
PerspectiveShadowWallEnabledName,,壁に映す,Cast on Wall,投射到墙壁,投射到牆壁,벽에 투영,Proyectar en la pared,إسقاط على الجدار,Proyeksikan ke Dinding
PerspectiveShadowWallEnabledDesc,,接地線より上に壁を置き、上へ伸びた影を壁面に沿って折り上げます。光源Yが接地線より下にある場合に有効です。,Places a wall above the ground line and folds the shadow up onto it. Takes effect when Light Y is below the ground line.,在接地线上方放置墙壁，让向上延伸的阴影沿墙面折起。光源Y位于接地线下方时生效。,在接地線上方放置牆壁，讓向上延伸的陰影沿牆面折起。光源Y位於接地線下方時生效。,접지선 위쪽에 벽을 두고 위로 뻗은 그림자를 벽면을 따라 접어 올립니다. 광원 Y가 접지선보다 아래에 있을 때 효과가 있습니다.,Coloca una pared sobre la línea del suelo y pliega la sombra hacia arriba sobre ella. Tiene efecto cuando Luz Y está por debajo de la línea del suelo.,يضع جدارًا فوق خط الأرضية ويطوي الظل الممتد لأعلى على سطحه. يعمل عندما يكون ضوء Y أسفل خط الأرضية.,Menempatkan dinding di atas garis tanah dan melipat bayangan ke atas dinding. Berlaku saat Cahaya Y berada di bawah garis tanah.
PerspectiveShadowWallDistanceName,,壁までの距離,Wall Distance,墙壁距离,牆壁距離,벽까지의 거리,Distancia a la pared,المسافة إلى الجدار,Jarak ke Dinding
PerspectiveShadowWallDistanceDesc,,接地線から壁までの距離 (px)。影がここまで届くと、その先は壁面に映ります。,Distance from the ground line to the wall (px). Shadow reaching this far continues onto the wall.,从接地线到墙壁的距离 (px)。阴影到达此处后会继续投射在墙面上。,從接地線到牆壁的距離 (px)。陰影到達此處後會繼續投射在牆面上。,접지선에서 벽까지의 거리 (px). 그림자가 여기까지 닿으면 그 너머는 벽면에 비칩니다.,Distancia desde la línea del suelo hasta la pared (px). La sombra que llega hasta aquí continúa sobre la pared.,المسافة من خط الأرضية إلى الجدار (px). الظل الذي يصل إلى هنا يستمر على الجدار.,Jarak dari garis tanah ke dinding (px). Bayangan yang mencapai jarak ini berlanjut ke dinding.
